指標名稱,年度季別,分區業務組,縣市別,醫事機構代碼,醫事機構名稱,院所指標值,所屬分區業務組指標值,全國指標值
就診後同日於同醫院因同疾病再次就診率,103Q1,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0055,0.01030,0.00920
就診後同日於同醫院因同疾病再次就診率,100Q2,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0048,0.00990,0.00870
就診後同日於同醫院因同疾病再次就診率,103Q2,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0056,0.01060,0.00960
就診後同日於同醫院因同疾病再次就診率,103Q3,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0055,0.01040,0.00970
就診後同日於同醫院因同疾病再次就診率,100Q3,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0050,0.01000,0.00880
就診後同日於同醫院因同疾病再次就診率,105Q1,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0045,0.00940,0.00880
就診後同日於同醫院因同疾病再次就診率,102Q4,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0056,0.01060,0.00960
就診後同日於同醫院因同疾病再次就診率,105Q2,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0051,0.00970,0.00930
就診後同日於同醫院因同疾病再次就診率,105Q3,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0050,0.00970,0.00930
就診後同日於同醫院因同疾病再次就診率,105Q4,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0050,0.00970,0.00930
就診後同日於同醫院因同疾病再次就診率,102Q2,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0059,0.01070,0.00950
就診後同日於同醫院因同疾病再次就診率,102Q3,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0062,0.01070,0.00960
就診後同日於同醫院因同疾病再次就診率,102Q3,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0062,0.01070,0.00960
就診後同日於同醫院因同疾病再次就診率,104Q3,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0052,0.00950,0.00930
就診後同日於同醫院因同疾病再次就診率,104Q4,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0050,0.00990,0.00930
就診後同日於同醫院因同疾病再次就診率,104Q1,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0051,0.00980,0.00930
就診後同日於同醫院因同疾病再次就診率,100Q1,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0048,0.00950,0.00820
就診後同日於同醫院因同疾病再次就診率,104Q2,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0055,0.01000,0.00970
就診後同日於同醫院因同疾病再次就診率,102Q1,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0056,0.01040,0.00920
就診後同日於同醫院因同疾病再次就診率,101Q2,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0052,0.01040,0.00920
就診後同日於同醫院因同疾病再次就診率,101Q3,臺北業務組,臺北市大同區,0101090517,臺北市立聯合醫院,0.0053,0.01050,0.00920
